Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,59.61,73.69,53.17,7.34,62.84,83.49,C,10.3,Yes,No,Master's,Medium,1,5.9
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,74.0,74.23,98.23,8.8,98.23,92.29,F,27.1,No,No,High School,Low,4,4.3
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,63.85,85.85,50.0,0.47,91.22,93.55,F,12.4,Yes,No,High School,Low,9,6.1
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,44.44,68.1,66.27,0.42,55.48,51.03,A,25.5,No,Yes,High School,Low,8,4.9
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,61.77,67.66,83.98,6.43,87.43,90.91,A,13.3,Yes,No,Master's,Medium,6,4.5
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,64.48,87.85,52.26,5.48,67.65,92.66,D,25.3,Yes,No,None,Medium,6,5.6
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,93.74,89.0,54.17,1.55,87.51,79.78,A,22.1,Yes,No,Bachelor's,High,2,4.0
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,59.47,50.72,53.83,5.48,90.04,74.0,F,16.7,Yes,Yes,None,Low,5,7.8
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,76.97,62.75,57.19,79.08,9.74,57.57,55.55,D,18.1,No,Yes,PhD,High,9,4.8
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,86.97,60.65,94.8,6.31,83.09,61.98,C,9.4,Yes,No,None,High,8,7.1
S1010,John,Smith,student10@university.com,Female,23,Business,86.2,70.0,85.54,67.58,77.77,4.49,93.14,74.52,D,7.9,Yes,Yes,High School,Low,4,8.2
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,87.9,64.57,80.18,8.28,66.17,93.25,B,22.9,Yes,No,None,Low,7,8.6
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,97.23,83.43,67.3,2.13,54.02,90.16,D,26.2,No,No,None,Medium,9,6.8
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,87.73,91.41,50.94,4.14,51.36,74.8,A,23.0,No,No,PhD,Medium,5,7.9
S1014,Liam,Williams,student14@university.com,Male,19,CS,58.18,94.98,64.46,59.6,51.08,5.28,55.5,89.28,C,27.8,No,Yes,Bachelor's,High,2,6.3
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,63.28,89.29,78.15,94.42,5.05,50.21,88.29,B,27.3,Yes,No,Bachelor's,Low,2,6.5
S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,70.2,70.52,68.39,55.13,9.21,66.35,78.95,D,24.5,No,Yes,High School,High,8,6.7
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,56.66,75.29,99.99,2.93,64.97,61.02,C,27.5,No,No,Bachelor's,Medium,8,7.4
S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,79.77,58.18,81.04,58.22,0.57,55.52,67.4,A,9.2,Yes,Yes,High School,High,8,7.3
S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,99.7,53.43,94.68,83.73,9.16,82.56,58.2,C,23.3,No,Yes,Master's,Low,5,7.9
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,48.7,59.61,97.45,2.17,99.6,50.36,C,23.8,No,No,PhD,High,2,7.1
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,51.07,54.35,68.11,3.79,95.05,54.03,B,8.8,No,No,None,High,10,8.4
S1022,Sara,Davis,student22@university.com,Male,22,Business,99.64,40.24,43.79,81.36,86.72,5.31,62.64,87.98,F,27.7,No,Yes,PhD,Low,8,7.5
S1023,Liam,Williams,student23@university.com,Female,23,CS,83.92,61.85,93.31,69.71,67.54,9.76,88.5,51.67,A,5.2,Yes,Yes,Bachelor's,Low,4,8.6
S1024,Maria,Williams,student24@university.com,Female,20,Business,86.5,50.12,95.86,58.15,65.25,5.35,96.84,69.99,B,15.9,No,Yes,None,Low,9,7.8
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,60.65,85.44,75.21,55.85,60.09,4.48,95.32,99.29,B,5.5,No,No,PhD,Medium,10,7.7
S1026,Emma,Johnson,student26@university.com,Male,18,Business,53.94,43.04,90.43,77.95,91.05,5.84,94.23,89.76,B,18.1,No,No,PhD,High,6,8.3
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,63.85,73.21,51.01,65.02,62.87,9.71,89.32,87.53,F,15.3,No,Yes,High School,High,10,7.3
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,62.44,57.7,94.1,99.87,64.16,8.18,64.65,63.74,F,20.6,Yes,No,Master's,Low,7,4.9
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.73,48.02,70.38,70.3,99.95,1.69,54.18,82.09,D,24.2,Yes,Yes,PhD,Low,3,4.4
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,59.64,86.31,44.03,60.61,66.37,8.03,74.39,74.94,D,24.2,Yes,Yes,None,Medium,2,5.6
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,78.74,53.05,48.48,81.44,71.14,8.41,52.74,81.19,A,23.1,Yes,No,Master's,Low,2,8.1
S1032,Maria,Smith,student32@university.com,Female,21,Business,66.41,53.42,58.54,62.21,99.5,6.91,99.92,71.79,A,7.5,Yes,No,Master's,Medium,3,4.1
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,91.02,56.5,42.61,74.7,68.47,6.57,67.92,76.55,F,15.4,No,No,None,Medium,7,4.8
S1034,Emma,Davis,student34@university.com,Female,21,CS,59.2,75.21,58.56,74.13,68.31,4.41,97.92,99.42,F,25.4,No,Yes,Master's,Medium,8,4.5
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,73.23,79.58,43.6,72.68,91.39,6.42,88.66,66.47,F,21.4,No,No,Bachelor's,Low,4,4.2
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,50.68,41.06,54.16,89.8,65.6,7.38,70.56,60.82,B,22.0,Yes,Yes,Master's,High,3,8.1
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,74.08,54.51,55.94,60.83,61.69,1.23,55.92,72.42,F,10.7,Yes,Yes,High School,Low,7,5.4
S1038,Ali,Williams,student38@university.com,Male,18,Business,52.79,65.86,99.66,95.22,71.16,2.57,61.86,76.22,B,13.1,Yes,No,Master's,High,3,7.6
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,98.89,59.92,54.13,89.57,85.03,1.94,83.65,54.28,B,28.9,No,No,PhD,Low,8,4.7
S1040,John,Johnson,student40@university.com,Male,24,Business,89.53,93.05,54.35,66.66,52.16,8.41,91.5,90.3,A,26.2,Yes,No,Master's,Medium,4,6.0
S1041,Omar,Smith,student41@university.com,Male,23,CS,74.51,87.26,81.21,59.03,68.7,6.8,98.97,71.1,C,9.1,Yes,Yes,High School,High,8,4.6
S1042,Sara,Davis,student42@university.com,Male,20,CS,54.33,77.55,91.56,63.98,67.31,4.51,56.61,70.66,D,18.6,No,No,High School,Low,2,4.0
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,79.62,60.28,63.22,66.63,62.24,8.26,57.8,82.94,D,17.3,Yes,Yes,Master's,Low,8,7.1
S1044,Maria,Smith,student44@university.com,Male,22,Business,87.94,82.04,92.54,77.85,82.71,7.17,52.12,88.66,A,16.1,No,Yes,Bachelor's,High,8,6.4
S1045,Maria,Brown,student45@university.com,Male,21,CS,59.54,90.62,60.41,52.32,64.5,9.14,63.02,99.3,A,16.8,Yes,Yes,Master's,Medium,10,6.1
S1046,Liam,Smith,student46@university.com,Male,24,CS,78.41,75.69,51.82,95.72,80.34,0.77,91.05,58.68,F,21.1,Yes,No,None,Medium,3,4.4
S1047,Omar,Jones,student47@university.com,Female,23,Business,90.71,87.07,59.78,54.93,75.22,5.09,59.91,67.28,F,29.2,No,No,High School,High,2,6.9
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,88.41,84.95,76.56,63.96,60.86,7.07,77.39,58.41,F,26.9,No,No,Master's,Low,7,7.9
S1049,Emma,Jones,student49@university.com,Male,24,Engineering,90.15,74.3,62.03,55.46,63.33,2.07,72.32,94.04,B,26.9,No,Yes,Bachelor's,Medium,9,4.3
S1050,Omar,Jones,student50@university.com,Female,19,Engineering,93.97,58.73,80.37,62.83,58.53,3.27,66.29,77.42,B,22.6,Yes,Yes,Bachelor's,Low,10,6.1
S1051,Emma,Jones,student51@university.com,Female,20,Engineering,96.88,84.75,54.22,91.88,52.83,4.19,80.92,92.62,F,5.4,No,Yes,Bachelor's,Medium,1,5.6
S1052,John,Brown,student52@university.com,Female,19,CS,70.28,52.41,82.06,80.76,80.96,7.94,75.12,99.26,B,16.0,Yes,No,PhD,Low,5,8.5
S1053,Maria,Smith,student53@university.com,Female,23,Business,78.44,86.77,60.85,61.37,83.64,4.94,66.74,77.51,A,17.8,No,No,PhD,Medium,3,5.3
S1054,Omar,Smith,student54@university.com,Male,19,Business,89.53,88.27,67.35,93.59,58.3,4.93,84.44,55.91,F,26.1,Yes,Yes,PhD,Low,9,8.7
S1055,Maria,Brown,student55@university.com,Female,19,CS,84.86,89.33,73.46,90.04,80.77,4.31,64.0,68.06,D,28.1,No,Yes,None,Low,8,8.1
S1056,Liam,Williams,student56@university.com,Female,20,CS,99.78,68.37,81.17,87.68,99.1,2.29,82.16,51.81,D,16.3,No,Yes,None,Medium,9,4.5
S1057,Ali,Johnson,student57@university.com,Male,20,CS,50.68,51.55,54.32,92.38,53.72,9.23,97.86,92.47,B,12.5,Yes,Yes,Master's,Medium,9,6.4
S1058,John,Smith,student58@university.com,Male,20,Mathematics,67.76,45.98,90.16,80.98,74.52,3.18,86.45,50.89,D,13.4,No,Yes,PhD,Low,10,7.2
